,0
2018-09-27,0.001663036205885564
2018-09-28,-0.00455291545824963
2018-10-01,0.008555631188417892
2018-10-02,-0.0021672886802303407
2018-10-03,-0.0016395346222575534
2018-10-04,-0.004349832553939402
2018-10-05,-0.0032422935694205552
2018-10-08,-0.002493416731328193
2018-10-09,0.0029205363209775866
2018-10-10,-0.018036615606519667
2018-10-11,-0.008172425908036771
2018-10-12,0.006097118134383951
2018-10-15,-0.0023108611590448008
2018-10-16,0.012353422850603608
2018-10-17,-0.0012416025349232219
2018-10-18,-0.00593113856025999
2018-10-19,-0.004251312160928329
2018-10-22,-0.0004452007706666996
2018-10-23,0.0005658782432260408
2018-10-24,-0.01951867381168377
2018-10-25,0.00443979023468849
2018-10-26,-0.009139494089508603
2018-10-29,-0.002166594314718179
2018-10-30,0.006510640840072348
2018-10-31,0.005301025501178897
2018-11-01,0.024463402162100984
2018-11-02,-0.01231266903481923
2018-11-05,0.0009808450762194387
2018-11-06,0.007576477672409611
2018-11-07,0.028771480917032948
2018-11-08,-0.009299544341613033
2018-11-09,-0.018802827258529154
2018-11-12,-0.03836197412295998
2018-11-13,0.011119278881987375
2018-11-14,-0.003847397720971728
2018-11-15,0.020856872126841123
2018-11-16,-0.010677348114065026
2018-11-19,-0.04003313583958841
2018-11-20,-0.0036760090189576983
2018-11-21,0.001687169227812558
2018-11-22,0.001687169227812558
2018-11-23,-0.008601478172506538
2018-11-26,0.02468314518664207
2018-11-27,0.0012352448265145273
2018-11-28,0.034955383572747294
2018-11-29,-0.0009333273972714947
2018-11-30,0.013433637014383725
2018-12-03,0.022541399751973182
2018-12-04,-0.04730859377301493
2018-12-05,-0.04730859377301493
2018-12-06,0.002143084618912631
2018-12-07,-0.03628501307908178
2018-12-10,0.01127282479223072
2018-12-11,-0.0027509514094625587
2018-12-12,0.0119582176609106
2018-12-13,0.004802669934087651
2018-12-14,-0.02071611329902576
2018-12-17,-0.02076162304689129
2018-12-18,0.010101325621156931
2018-12-19,-0.02049085593378607
2018-12-20,-0.014214384943388305
2018-12-21,-0.024652635675899107
2018-12-24,-0.02325618554052353
2018-12-25,-0.02325618554052353
2018-12-26,0.059975145708647995
2018-12-27,0.0036967312362523714
2018-12-28,0.007806843857329561
2018-12-31,0.011238011523041748
2019-01-01,0.012052589510814319
2021-01-01,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-02-01,0.0
2021-02-02,0.02370225590171704
2021-02-03,0.009263087603124642
2021-02-04,0.01689580782132367
2021-02-05,0.00045740187820980335
2021-02-08,0.026956506159463274
2021-02-09,-0.002437582139146752
2021-02-10,0.006117205647354752
2021-02-11,0.0033250755663371745
2021-02-12,0.009390577461250452
2021-02-15,0.00939560506278615
2021-02-16,0.00939560506278615
2021-02-17,-0.0010602579501535325
2021-02-18,-0.01538187091629835
2021-02-19,0.01034156712230972
2021-02-22,0.0005880424733376876
2021-02-23,0.004905648130754599
2021-02-24,0.03513483282410569
2021-02-25,-0.03679314000148068
2021-02-26,-0.010220342508629097
2021-03-01,0.027710137224496285
2021-03-02,-0.00477076187927373
2021-03-03,-0.005805092891385781
2021-03-04,-0.003910683582549077
2021-03-05,0.007699347480403065
2021-03-08,-0.002183434963572481
2021-03-09,0.010027365742981253
2021-03-10,0.0036203961198188243
2021-03-11,0.0074050116167552055
2021-03-12,0.00035601730876949335
2021-03-15,0.00236222546637387
2021-03-16,-0.006119013856776129
2021-03-17,0.0033392817411056304
2021-03-18,-0.01393348764974357
2021-03-19,0.00010786925145810315
2021-03-22,0.0019147992300214544
2021-03-23,-0.0037163225157178484
2021-03-24,-0.002910531426990618
2021-03-25,0.0025127814354298115
2021-03-26,0.007043732747313228
2021-03-29,-0.0014532661455780578
2021-03-30,-0.001280114725614769
2021-03-31,0.0037218036103394956
2021-04-01,0.014863671595450531
2021-04-02,0.014863671595450531
2021-04-05,0.008030459479245989
2021-04-06,-0.0019110366123163088
2021-04-07,0.00013372611845615526
